account_id,customer_id,account_type,account_open_date,branch_id,account_status,balance
A000048,C00039,Business,2026-04-05,B006,Active,290554.12
A000049,C00146,Salary,2025-09-27,B008,Closed,40039.07
A000050,C00252,Business,2025-08-23,B002,Closed,317210.14
A000051,C00320,Savings,2020-02-19,B006,Closed,389485.04
A000052,C00465,Business,2021-05-18,B010,Closed,166425.48
A000053,C00984,Salary,2022-09-05,B005,Active,18627.79
A000054,C00768,Salary,2019-12-08,B010,Inactive,31647.46
A000055,C00593,Current,2021-04-30,B010,Active,328503.62
A000056,C00829,Savings,2023-05-13,B005,Inactive,42172.57
A000057,C00079,Salary,2020-12-19,B005,Active,308283.08
A000058,C00879,Salary,2023-07-20,B001,Closed,56663.15
A000059,C00932,Current,2024-09-04,B008,Inactive,404112.5
A000060,C00802,Current,2023-09-15,B008,Active,399886.63
A000061,C00352,Savings,2026-04-07,B003,Closed,467036.99
A000062,C00858,Business,2024-11-27,B007,Inactive,119735.77
A000063,C00744,Current,2021-09-13,B004,Closed,367446.19
A000064,C00056,Salary,2022-10-07,B002,Active,84632.6
A000065,C00488,Salary,2022-03-01,B008,Closed,474177.64
A000066,C00240,Business,2020-08-30,B007,Inactive,132049.95
A000067,C00892,Business,2020-09-08,B001,Inactive,463684.04
A000068,C00392,Salary,2021-08-08,B009,Closed,477979.5
A000069,C00940,Salary,2025-07-18,B007,Closed,459102.97
A000070,C00344,Salary,2023-07-31,B005,Active,128416.62
A000071,C00401,Business,2020-02-01,B004,Closed,336273.04
A000072,C00533,Salary,2024-06-13,B003,Inactive,274258.67
A000073,C00852,Savings,2026-07-17,B001,Inactive,49751.68
A000074,C00702,Business,2025-06-21,B006,Active,362900.08
A000075,C00198,Savings,2023-10-24,B001,Closed,46878.7
A000076,C00673,Current,2019-12-22,B010,Closed,61773.28
A000077,C00089,Current,2025-04-16,B007,Closed,382165.03
A000078,C00823,Current,2020-04-15,B002,Closed,92947.23
A000079,C00479,Savings,2023-05-02,B008,Inactive,384910.21
A000080,C00264,Current,2023-01-04,B002,Inactive,388775.87
A000081,C00398,Salary,2022-05-06,B001,Inactive,477847.24
A000082,C00183,Business,2023-09-01,B002,Inactive,489731.57
A000083,C00625,Business,2024-05-21,B003,Closed,246536.59
A000084,C00554,Business,2025-01-08,B004,Closed,322025.75
A000085,C00733,Salary,2021-09-07,B002,Active,37386.83
A000086,C00746,Salary,2020-03-24,B008,Active,448359.68
A000087,C00669,Savings,2024-12-19,B001,Closed,195851.43
A000088,C00717,Salary,2024-12-08,B007,Closed,2848.17
A000089,C00490,Business,2021-02-18,B007,Closed,390687.58
A000090,C00554,Current,2025-11-06,B001,Inactive,477123.52
A000091,C00125,Salary,2021-03-25,B006,Closed,152111.21
A000092,C00648,Savings,2026-01-06,B006,Closed,426817.7
A000093,C00083,Business,2022-10-28,B005,Closed,102357.12
A000094,C00041,Business,2020-06-01,B004,Inactive,348245.26
A000095,C00646,Salary,2025-06-09,B008,Active,442721.86
A000096,C00753,Current,2021-09-22,B003,Active,97353.27
A000097,C00245,Business,2019-12-27,B007,Active,396576.85
A000098,C00512,Business,2023-03-09,B001,Active,170303.27
A000099,C00807,Savings,2022-11-06,B007,Active,106627.41
A000100,C00470,Current,2020-10-08,B010,Active,462483.09
A000101,C00754,Current,2026-03-22,B008,Closed,10512.44
A000102,C00249,Current,2026-02-14,B001,Active,316698.07
A000103,C00841,Savings,2023-03-11,B008,Closed,86174.0
A000104,C00066,Savings,2020-01-04,B002,Inactive,297893.73
A000105,C00065,Current,2024-02-29,B007,Inactive,405948.99
A000106,C00333,Savings,2022-02-16,B010,Closed,69527.37
A000107,C00783,Savings,2024-03-30,B010,Active,168416.36
A000108,C00281,Current,2025-04-13,B007,Active,348451.6
A000109,C00169,Business,2020-06-06,B004,Closed,21308.75
A000110,C00811,Business,2025-07-07,B003,Active,439933.84
A000111,C00007,Savings,2025-09-24,B003,Active,353663.88
A000112,C00909,Salary,2019-12-24,B007,Closed,403898.49
A000113,C00709,Current,2021-04-19,B004,Active,320273.03
A000114,C00462,Business,2020-10-08,B004,Active,305658.46
A000115,C00611,Current,2026-03-19,B008,Closed,475198.73
A000116,C00357,Business,2023-04-05,B001,Closed,118583.86
A000117,C00543,Savings,2025-04-26,B010,Inactive,431502.8
A000118,C00520,Current,2020-08-01,B008,Closed,330004.25
A000119,C00055,Current,2023-07-15,B002,Active,342936.63
A000120,C00510,Current,2021-04-25,B003,Closed,461413.85
A000121,C00661,Salary,2026-01-11,B005,Active,217901.15
A000122,C00632,Business,2022-11-20,B001,Active,370468.03
A000123,C00181,Current,2020-08-10,B001,Inactive,257936.96
A000124,C00917,Current,2025-11-03,B008,Closed,290301.13
A000125,C00204,Salary,2021-12-08,B004,Active,163739.98
A000126,C00243,Business,2025-07-15,B004,Inactive,445791.21
A000127,C00483,Business,2025-10-23,B001,Inactive,73325.69
A000128,C00183,Business,2021-07-14,B006,Active,229412.36
A000129,C00648,Salary,2024-06-16,B005,Active,168609.78
A000130,C00709,Savings,2026-04-11,B005,Active,56443.53
A000131,C00470,Business,2021-06-01,B003,Inactive,110706.93
A000132,C00619,Current,2023-04-30,B010,Active,289482.6
A000133,C00876,Current,2020-06-08,B002,Inactive,428629.91
A000134,C00883,Current,2021-02-24,B010,Inactive,418657.52
A000135,C00015,Business,2023-07-04,B004,Active,164320.68
A000136,C00228,Current,2020-02-20,B010,Active,209468.15
A000137,C00042,Business,2026-02-20,B009,Active,213423.12
A000138,C00491,Savings,2022-03-19,B008,Inactive,121015.23
A000139,C00772,Savings,2020-05-16,B007,Active,67223.29
A000140,C00245,Savings,2023-04-27,B001,Inactive,334848.77
A000141,C00721,Business,2024-10-27,B010,Closed,292246.4
A000142,C00475,Current,2021-07-14,B007,Active,395139.5
A000143,C00642,Business,2022-06-25,B001,Closed,36278.6
A000144,C00544,Savings,2022-11-26,B005,Inactive,376691.12
A000145,C00590,Current,2020-07-21,B002,Closed,440542.78
A000146,C00528,Salary,2026-01-08,B001,Active,192094.54
A000147,C00634,Savings,2021-06-01,B006,Inactive,88458.43
A000148,C00722,Savings,2020-05-15,B009,Closed,387014.18
A000149,C00343,Current,2025-01-31,B009,Active,324870.16
A000150,C00893,Current,2020-02-17,B004,Inactive,177003.12
A000151,C00516,Business,2023-08-21,B005,Active,32621.22
A000152,C00464,Business,2022-10-06,B009,Closed,414950.35
A000153,C00727,Salary,2021-05-13,B008,Closed,184704.78
A000154,C00193,Business,2025-11-25,B002,Active,195950.57
A000155,C00296,Savings,2024-08-18,B002,Active,138695.43
A000156,C00509,Current,2024-12-22,B004,Closed,476100.28
A000157,C00301,Business,2026-05-20,B009,Active,237478.55
A000158,C00455,Savings,2021-12-04,B005,Active,32411.8
A000159,C00855,Salary,2024-01-12,B007,Closed,172053.45
A000160,C00498,Business,2022-12-23,B008,Inactive,284058.58
A000161,C00176,Salary,2023-03-14,B004,Inactive,186579.26
A000162,C00789,Savings,2023-05-28,B003,Inactive,142906.63
A000163,C00634,Current,2024-10-08,B009,Inactive,91957.97
A000164,C00860,Current,2024-09-01,B003,Active,59341.75
A000165,C00589,Current,2023-02-01,B008,Inactive,185466.4
A000166,C00576,Savings,2024-05-02,B006,Inactive,74824.16
A000167,C00553,Current,2021-08-10,B009,Inactive,61623.52
A000168,C00415,Business,2026-05-10,B003,Inactive,463977.83
A000169,C00005,Salary,2024-11-19,B005,Inactive,448092.75
A000170,C00683,Current,2020-03-15,B010,Closed,453533.51
A000171,C00347,Savings,2021-09-05,B008,Active,70572.22
A000172,C00120,Salary,2020-06-16,B001,Inactive,309143.47
A000173,C00457,Salary,2024-03-01,B002,Inactive,28461.78
A000174,C00598,Current,2024-06-12,B005,Active,12251.77
A000175,C00870,Business,2020-08-06,B002,Closed,197817.38
A000176,C00326,Savings,2021-02-19,B006,Inactive,74825.02
A000177,C00379,Business,2021-11-03,B006,Active,143040.53
A000178,C00316,Business,2022-09-11,B009,Active,108631.88
A000179,C00760,Business,2021-08-27,B008,Inactive,82731.38
A000180,C00747,Business,2021-11-18,B003,Closed,299369.92
A000181,C00213,Salary,2025-01-09,B008,Closed,493332.54
A000182,C00956,Business,2025-11-23,B002,Active,205320.86
A000183,C00425,Current,2023-07-28,B009,Inactive,355413.26
A000184,C00205,Current,2025-02-06,B007,Inactive,277379.6
A000185,C00843,Salary,2026-03-01,B010,Inactive,247556.14
A000186,C00230,Savings,2021-06-09,B001,Active,132075.83
A000187,C00128,Salary,2021-05-03,B007,Active,246451.37
A000188,C00030,Savings,2023-11-22,B005,Inactive,497172.14
A000189,C00614,Salary,2025-11-20,B010,Inactive,283221.72
A000190,C00644,Business,2023-09-29,B002,Inactive,256750.41
A000191,C00018,Salary,2020-03-08,B003,Closed,30196.69
A000192,C00473,Current,2023-01-19,B006,Active,27391.28
A000193,C00430,Salary,2022-08-02,B001,Inactive,146540.38
A000194,C00527,Current,2025-10-10,B003,Active,299782.48
A000195,C00557,Salary,2024-10-05,B006,Closed,400138.73
A000196,C00702,Salary,2023-08-05,B002,Closed,290443.27
A000197,C00014,Current,2025-01-09,B009,Inactive,187134.08
A000198,C00422,Salary,2021-03-13,B003,Active,109720.23
A000199,C00227,Current,2020-12-28,B009,Closed,345136.76
A000200,C00867,Savings,2020-09-27,B007,Inactive,458099.55
A000201,C00839,Current,2025-04-30,B001,Inactive,174756.75
A000202,C00143,Business,2022-07-27,B010,Closed,382031.18
A000203,C00177,Salary,2022-10-19,B001,Closed,407472.48
A000204,C00132,Current,2024-02-22,B004,Inactive,63546.75
A000205,C00081,Business,2025-03-05,B002,Active,10384.4
A000206,C00776,Business,2021-03-16,B001,Active,54800.87
A000207,C00608,Savings,2020-11-16,B008,Active,454356.12
A000208,C00068,Salary,2026-02-24,B001,Active,391403.04
A000209,C00211,Current,2019-11-21,B003,Closed,176415.3
A000210,C00150,Salary,2025-08-14,B010,Inactive,176749.43
A000211,C00800,Current,2021-01-08,B009,Closed,35100.18
A000212,C00782,Savings,2020-02-25,B009,Active,358190.01
A000213,C00176,Savings,2023-06-23,B002,Active,460318.11
A000214,C00376,Current,2021-04-24,B008,Closed,478916.12
A000215,C00855,Salary,2024-08-10,B007,Inactive,107922.73
A000216,C00418,Savings,2024-01-31,B006,Active,233484.95
A000217,C00140,Business,2020-10-22,B006,Closed,144847.36
A000218,C00085,Salary,2026-03-07,B008,Active,193005.78
A000219,C00615,Salary,2021-07-06,B008,Active,277404.03
A000220,C00876,Business,2023-05-18,B004,Active,447482.57
A000221,C00962,Salary,2021-04-20,B003,Active,499362.94
A000222,C00689,Savings,2021-02-14,B007,Inactive,261808.53
A000223,C00123,Current,2025-09-06,B007,Inactive,347823.52
A000224,C00760,Current,2025-06-30,B002,Inactive,487628.54
A000225,C00206,Business,2022-11-02,B002,Active,419216.46
A000226,C00286,Salary,2021-01-14,B007,Inactive,238437.32
A000227,C00973,Business,2019-11-15,B008,Closed,140166.43
A000228,C00111,Savings,2021-07-15,B005,Inactive,249139.62
A000229,C00031,Savings,2025-02-15,B001,Active,249569.32
A000230,C00996,Current,2026-05-03,B007,Closed,339922.98
A000231,C00311,Savings,2024-12-03,B002,Closed,376053.26
A000232,C00812,Business,2021-02-11,B004,Inactive,331384.52
A000233,C00517,Salary,2021-02-19,B009,Inactive,404931.32
A000234,C00560,Savings,2020-07-28,B001,Inactive,440182.71
A000235,C00393,Business,2025-04-20,B006,Inactive,221835.52
A000236,C00034,Current,2026-03-26,B009,Closed,430319.99
A000237,C00906,Current,2023-03-28,B008,Inactive,68109.63
A000238,C00500,Savings,2022-04-10,B010,Closed,245786.3
A000239,C00702,Business,2020-06-04,B008,Closed,427321.38
A000240,C00058,Business,2020-12-14,B005,Inactive,295931.51
A000241,C00632,Salary,2022-05-26,B005,Inactive,31650.56
A000242,C00047,Current,2020-01-06,B006,Inactive,404967.16
A000243,C00028,Salary,2020-02-02,B007,Active,214645.95
A000244,C00422,Salary,2022-08-18,B001,Closed,122870.21
A000245,C00664,Salary,2024-01-02,B010,Active,455284.12
A000246,C00890,Salary,2025-11-25,B002,Inactive,85719.84
A000247,C00334,Savings,2020-08-06,B008,Closed,431820.89
A000248,C00528,Business,2020-04-07,B005,Active,348283.28
A000249,C00023,Salary,2020-01-16,B007,Closed,195760.09
A000250,C00101,Business,2020-03-19,B002,Closed,337880.54
A000251,C00509,Salary,2022-11-13,B003,Closed,150460.93
A000252,C00207,Business,2021-09-30,B002,Closed,107825.97
A000253,C00049,Salary,2023-08-30,B010,Inactive,402496.91
A000254,C00735,Savings,2025-08-09,B010,Inactive,137409.1
A000255,C00821,Business,2020-04-13,B007,Active,174310.93
A000256,C00668,Salary,2025-10-10,B009,Inactive,217022.33
A000257,C00321,Current,2020-07-31,B007,Inactive,126381.13
A000258,C00465,Current,2020-11-09,B001,Closed,351962.49
A000259,C00591,Business,2024-07-17,B004,Closed,481096.42
A000260,C00275,Business,2021-05-24,B010,Closed,313752.48
A000261,C00206,Salary,2020-10-11,B008,Active,120946.6
A000262,C00865,Business,2023-04-09,B007,Inactive,430232.79
A000263,C00650,Current,2025-11-30,B007,Inactive,412031.64
A000264,C00263,Current,2024-11-01,B007,Active,57665.73
A000265,C00029,Current,2024-06-25,B005,Inactive,243205.79
A000266,C00433,Savings,2021-09-29,B004,Active,137083.27
A000267,C00265,Salary,2026-04-23,B009,Active,322502.62
A000268,C00987,Business,2026-03-01,B001,Active,429932.42
A000269,C00322,Salary,2025-09-11,B002,Inactive,448489.85
A000270,C00407,Current,2025-08-16,B004,Active,285915.72
A000271,C00956,Savings,2021-01-09,B009,Closed,414661.81
A000272,C00258,Business,2020-09-29,B002,Active,300310.84
A000273,C00338,Business,2023-02-14,B004,Inactive,109786.18
A000274,C00180,Current,2025-06-09,B005,Inactive,204779.4
A000275,C00058,Business,2020-01-10,B009,Inactive,350109.25
A000276,C00325,Business,2025-05-15,B008,Closed,123927.0
A000277,C00901,Current,2023-07-10,B006,Inactive,358119.94
A000278,C00022,Savings,2023-03-07,B001,Closed,458811.19
A000279,C00260,Business,2023-12-13,B005,Closed,479283.32
A000280,C00925,Savings,2022-07-26,B009,Active,428965.92
A000281,C00009,Business,2022-04-12,B005,Inactive,46034.91
A000282,C00305,Current,2023-12-30,B003,Inactive,316045.0
A000283,C00809,Savings,2022-01-29,B005,Active,411775.69
A000284,C00483,Business,2021-02-14,B006,Closed,211760.63
A000285,C00845,Current,2025-07-05,B005,Closed,34117.25
A000286,C00617,Salary,2021-12-01,B008,Closed,14648.1
A000287,C00657,Current,2026-01-19,B008,Closed,68910.02
A000288,C00205,Salary,2022-02-21,B006,Closed,42033.79
A000289,C00256,Current,2024-11-12,B010,Closed,205747.79
A000290,C00463,Business,2023-01-20,B003,Inactive,87566.03
A000291,C00847,Salary,2019-12-26,B005,Active,43115.08
A000292,C00187,Business,2022-07-07,B007,Closed,113019.08
A000293,C00946,Current,2026-05-18,B002,Inactive,99934.84
A000294,C00051,Business,2024-09-28,B010,Inactive,300595.97
A000295,C00092,Salary,2024-12-17,B003,Closed,59557.91
A000296,C00446,Business,2020-09-27,B008,Active,113017.49
A000297,C00196,Salary,2024-05-10,B005,Closed,247589.91
A000298,C00442,Current,2025-03-05,B010,Active,497608.52
A000299,C00745,Current,2023-06-18,B007,Active,204853.53
A000300,C00030,Salary,2024-12-31,B005,Active,309222.44
A000301,C00379,Business,2023-11-07,B002,Active,234971.92
A000302,C00998,Business,2023-01-04,B004,Closed,192364.23
A000303,C00754,Salary,2021-11-21,B002,Active,278942.99
A000304,C00341,Current,2026-01-19,B008,Inactive,498372.98
A000305,C00727,Savings,2019-12-05,B001,Inactive,252766.46
A000306,C00310,Business,2022-05-13,B006,Active,484060.85
A000307,C00043,Current,2020-05-12,B005,Active,252369.61
A000308,C00899,Business,2022-10-31,B003,Active,159341.38
A000309,C00444,Current,2020-09-08,B005,Active,157321.53
A000310,C00512,Salary,2025-03-15,B006,Inactive,142179.83
A000311,C00628,Salary,2023-09-07,B009,Inactive,218451.91
A000312,C00324,Business,2024-10-14,B003,Closed,426663.8
A000313,C00055,Current,2021-09-13,B003,Active,115700.41
A000314,C00482,Salary,2026-03-27,B003,Closed,234099.29
A000315,C00917,Business,2025-05-02,B001,Inactive,178903.54
A000316,C00497,Business,2020-05-06,B008,Active,423073.34
A000317,C00127,Salary,2024-12-22,B002,Active,434218.38
A000318,C00855,Current,2024-08-11,B009,Inactive,282060.45
A000319,C00218,Savings,2020-01-26,B009,Closed,91103.85
A000320,C00253,Business,2025-10-10,B002,Inactive,13955.12
A000321,C00404,Salary,2025-04-08,B010,Active,418651.63
A000322,C00030,Savings,2024-11-29,B008,Closed,330110.12
A000323,C00644,Salary,2021-07-18,B010,Closed,3896.88
A000324,C00672,Business,2026-02-22,B006,Closed,499910.73
A000325,C00133,Current,2020-04-02,B001,Closed,142194.05
A000326,C00762,Savings,2026-01-05,B009,Closed,191314.07
A000327,C00262,Current,2022-03-01,B004,Inactive,45504.97
A000328,C00167,Business,2024-04-20,B007,Inactive,323936.83
A000329,C00124,Salary,2024-11-27,B008,Inactive,368208.75
A000330,C00926,Current,2023-02-27,B006,Closed,48959.64
A000331,C00525,Current,2022-07-07,B008,Inactive,442821.11
A000332,C00275,Business,2021-04-17,B002,Inactive,405686.19
A000333,C00445,Business,2024-07-18,B002,Active,257157.39
A000334,C00693,Current,2021-06-09,B003,Inactive,264112.08
A000335,C00086,Salary,2020-10-01,B008,Inactive,40512.38
A000336,C00308,Current,2021-04-12,B003,Closed,451548.91
A000337,C00536,Business,2023-11-06,B005,Closed,24816.41
A000338,C00940,Savings,2025-10-11,B009,Active,255815.14
A000339,C00097,Business,2022-01-02,B010,Inactive,178373.36
A000340,C00084,Savings,2020-01-26,B002,Closed,331127.58
A000341,C00806,Current,2024-08-15,B007,Active,42561.99
A000342,C00322,Business,2023-04-19,B008,Closed,404109.2
A000343,C00990,Current,2022-10-22,B004,Active,40032.04
A000344,C00893,Savings,2023-09-23,B007,Closed,9939.69
A000345,C00120,Savings,2022-03-17,B003,Closed,239082.82
A000346,C00890,Business,2022-02-03,B005,Closed,406753.11
A000347,C00708,Business,2022-08-04,B005,Active,63419.66
A000348,C00196,Savings,2026-06-25,B001,Closed,485289.66
A000349,C00215,Business,2026-05-03,B003,Closed,121648.33
A000350,C00196,Savings,2020-08-05,B005,Inactive,74934.66
A000351,C00023,Savings,2021-11-26,B003,Active,369651.81
A000352,C00987,Business,2021-08-23,B008,Active,430038.43
A000353,C00249,Current,2020-01-27,B005,Closed,414895.93
A000354,C00053,Salary,2022-03-30,B001,Active,315574.53
A000355,C00426,Business,2021-10-17,B010,Closed,365808.19
A000356,C00038,Business,2023-05-17,B007,Inactive,257164.51
A000357,C00238,Savings,2021-03-01,B009,Active,211580.27
A000358,C00567,Savings,2023-02-04,B005,Closed,209151.59
A000359,C00120,Business,2021-04-30,B010,Closed,174035.29
A000360,C00022,Current,2021-09-29,B005,Closed,96908.45
A000361,C00449,Current,2022-10-12,B009,Active,294241.7
A000362,C00944,Business,2022-10-31,B003,Inactive,361774.51
A000363,C00983,Business,2022-04-05,B006,Inactive,400077.77
A000364,C00637,Current,2024-10-26,B005,Closed,374877.9
A000365,C00133,Current,2021-03-22,B004,Active,303268.75
A000366,C00813,Business,2025-07-03,B008,Inactive,118124.73
A000367,C00049,Savings,2020-05-23,B006,Inactive,179164.89
A000368,C00179,Savings,2024-11-09,B002,Inactive,215879.61
A000369,C00124,Current,2024-02-04,B008,Inactive,496837.75
A000370,C00788,Savings,2022-08-26,B009,Inactive,448262.53
A000371,C00619,Savings,2020-11-08,B001,Inactive,399694.46
A000372,C00999,Savings,2025-05-23,B010,Closed,391295.97
A000373,C00844,Savings,2025-06-29,B009,Active,84356.1
A000374,C00892,Current,2025-04-24,B006,Active,364446.29
A000375,C00781,Business,2021-09-07,B002,Active,323899.39
A000376,C00839,Current,2022-11-19,B002,Active,220115.12
A000377,C00788,Savings,2021-12-22,B004,Inactive,171318.71
A000378,C00176,Savings,2020-12-21,B005,Inactive,357884.67
A000379,C00370,Current,2021-12-25,B003,Closed,211439.38
A000380,C00142,Business,2024-01-29,B007,Inactive,449134.56
A000381,C00814,Salary,2020-11-05,B001,Inactive,73646.57
A000382,C00735,Savings,2026-07-11,B002,Inactive,158087.48
A000383,C00445,Savings,2024-10-16,B007,Active,330427.91
A000384,C00925,Savings,2024-12-10,B009,Inactive,210233.34
A000385,C00895,Salary,2020-06-05,B006,Inactive,4943.21
A000386,C00922,Current,2023-07-02,B007,Inactive,322295.79
A000387,C00640,Business,2020-07-13,B006,Closed,202848.35
A000388,C00903,Salary,2024-06-03,B002,Active,269179.31
A000389,C00743,Current,2022-04-06,B009,Closed,142680.0
A000390,C00524,Salary,2025-08-05,B009,Inactive,378766.12
A000391,C00024,Savings,2024-11-03,B009,Closed,130086.4
A000392,C00744,Business,2023-03-25,B009,Active,366261.1
A000393,C00266,Salary,2022-06-15,B002,Active,378523.41
A000394,C00460,Salary,2025-03-28,B010,Closed,3601.49
A000395,C00242,Current,2022-11-01,B006,Inactive,142983.21
A000396,C00689,Current,2020-03-18,B007,Closed,369018.65
A000397,C00336,Current,2025-06-15,B006,Inactive,49895.93
A000398,C00849,Business,2021-11-11,B002,Active,32034.64
A000399,C00488,Current,2025-03-06,B008,Active,185277.81
A000400,C00413,Business,2020-09-25,B005,Closed,249914.83
A000401,C00451,Business,2021-11-20,B007,Active,73028.74
A000402,C00497,Business,2025-03-18,B003,Closed,257079.56
A000403,C00121,Current,2020-09-13,B008,Inactive,17271.09
A000404,C00967,Salary,2024-11-16,B002,Closed,426306.58
A000405,C00124,Salary,2025-05-26,B010,Inactive,21100.79
A000406,C00121,Salary,2024-12-01,B005,Inactive,152326.78
A000407,C00029,Current,2021-03-09,B003,Closed,211456.73
A000408,C00911,Salary,2023-03-20,B004,Active,409743.41
A000409,C00003,Savings,2021-02-25,B009,Inactive,34714.7
A000410,C00428,Business,2026-02-18,B010,Inactive,283316.22
A000411,C00801,Business,2022-11-06,B008,Closed,417008.05
A000412,C00781,Current,2025-02-23,B009,Closed,231007.15
A000413,C00684,Business,2021-08-04,B003,Closed,163282.93
A000414,C00397,Current,2022-01-16,B007,Inactive,270956.23
A000415,C00754,Salary,2021-09-01,B002,Active,353897.1
A000416,C00646,Salary,2020-03-22,B009,Closed,62767.02
A000417,C00088,Current,2020-05-12,B010,Closed,288850.94
A000418,C00981,Current,2026-01-16,B008,Closed,448535.28
A000419,C00675,Current,2025-04-15,B001,Inactive,393591.77
A000420,C00850,Business,2023-11-20,B002,Closed,303820.56
A000421,C00604,Savings,2022-02-17,B008,Active,170638.32
A000422,C00425,Savings,2024-08-11,B009,Inactive,191623.48
A000423,C00118,Savings,2025-08-13,B009,Active,143390.51
A000424,C00262,Savings,2024-08-02,B003,Inactive,476130.2
A000425,C00061,Salary,2024-09-26,B003,Active,356937.01
A000426,C00400,Savings,2023-04-18,B006,Active,206998.58
A000427,C00265,Business,2023-01-01,B002,Active,102077.17
A000428,C00601,Current,2019-12-10,B008,Closed,376442.6
A000429,C00973,Savings,2022-04-26,B005,Active,159849.89
A000430,C00417,Savings,2020-06-07,B008,Active,204339.4
A000431,C00936,Savings,2024-01-06,B005,Closed,481773.87
A000432,C00253,Current,2025-07-01,B005,Closed,203966.21
A000433,C00867,Current,2025-09-11,B003,Inactive,270679.44
A000434,C00801,Current,2024-10-01,B009,Inactive,480714.7
A000435,C00463,Savings,2020-05-30,B001,Inactive,480596.11
A000436,C00669,Current,2023-05-24,B001,Active,466819.9
A000437,C00280,Salary,2021-03-24,B007,Inactive,421376.9
A000438,C00600,Salary,2024-04-01,B001,Active,369852.29
A000439,C00072,Salary,2020-04-27,B002,Inactive,349516.23
A000440,C00743,Salary,2025-01-25,B007,Active,305612.21
A000441,C00906,Salary,2023-01-25,B005,Closed,226906.32
A000442,C00679,Salary,2023-11-17,B006,Active,230439.87
A000443,C00337,Savings,2019-11-30,B003,Closed,461206.63
A000444,C00005,Savings,2021-04-17,B003,Inactive,278339.54
A000445,C00781,Business,2021-02-25,B009,Active,393865.31
A000446,C00552,Savings,2025-10-07,B008,Closed,62584.38
A000447,C00848,Salary,2022-06-01,B007,Active,419733.75
A000448,C00128,Business,2026-07-17,B006,Active,222844.25
A000449,C00761,Savings,2024-02-25,B005,Closed,460777.95
A000450,C00197,Savings,2022-08-16,B010,Closed,152286.09
A000451,C00240,Business,2024-02-27,B006,Active,141097.42
A000452,C00008,Current,2024-04-16,B007,Active,435088.2
A000453,C00513,Business,2020-04-02,B003,Closed,97691.36
A000454,C00689,Current,2020-04-16,B002,Closed,64994.95
A000455,C00131,Salary,2025-11-27,B010,Active,440620.54
A000456,C00197,Savings,2023-07-24,B009,Closed,127207.62
A000457,C00905,Business,2020-05-09,B001,Inactive,320842.18
