transaction_id,account_id,transaction_date,transaction_type,transaction_amount,currency,transaction_status,channel
T0000078,A000620,2026-04-30 00:07:43.530779,Payment,49990.63,INR,FAILED,Branch
T0000079,A001424,2025-10-22 00:44:21.530779,Interest,67643.89,INR,FAILED,ATM
T0000080,A000870,2025-09-30 18:05:30.530779,Payment,176849.4,INR,SUCCESS,ATM
T0000081,A000396,2025-06-14 19:32:26.530779,Payment,70482.12,INR,SUCCESS,Branch
T0000082,A001365,2026-08-08 02:30:59.530779,Transfer,215383.64,INR,SUCCESS,Online
T0000083,A000498,2025-01-29 03:19:36.530779,Deposit,44359.09,INR,SUCCESS,Mobile
T0000084,A000179,2026-04-28 08:03:21.530779,Deposit,2510.35,INR,SUCCESS,ATM
T0000085,A000320,2026-06-14 01:59:30.530779,Fee,156568.98,INR,FAILED,ATM
T0000086,A001255,2026-08-01 03:16:56.530779,Deposit,14135.99,INR,SUCCESS,Mobile
T0000087,A000188,2024-12-12 06:11:08.530779,Interest,237852.84,INR,SUCCESS,Branch
T0000088,A000431,2026-08-23 07:54:54.530779,Deposit,179273.1,INR,FAILED,ATM
T0000089,A000395,2026-06-22 18:42:05.530779,Payment,204405.98,INR,PENDING,Branch
T0000090,A000961,2026-06-01 06:12:12.530779,Transfer,182918.03,INR,PENDING,Online
T0000091,A001040,2025-12-17 06:09:43.530779,Deposit,19981.62,INR,SUCCESS,ATM
T0000092,A001179,2025-02-14 19:09:45.530779,Withdrawal,175021.76,INR,PENDING,Online
T0000093,A000659,2025-03-31 06:14:21.530779,Withdrawal,40689.65,INR,PENDING,ATM
T0000094,A001038,2026-05-28 14:26:23.530779,Interest,71422.21,INR,FAILED,ATM
T0000095,A001087,2025-09-08 08:11:43.530779,Deposit,163745.06,INR,PENDING,ATM
T0000096,A000133,2025-07-05 05:18:02.530779,Deposit,15789.47,INR,FAILED,Online
T0000097,A000164,2026-06-16 15:05:18.530779,Interest,191132.01,INR,PENDING,Branch
T0000098,A000653,2024-10-02 02:38:29.530779,Fee,192869.39,INR,FAILED,Online
T0000099,A001490,2026-04-25 08:59:03.530779,Transfer,112751.66,INR,PENDING,Branch
T0000100,A000615,2025-10-04 17:37:21.530779,Payment,78437.32,INR,PENDING,Mobile
T0000001,A000350,2025-05-11 20:48:34.530779,Deposit,172747.07,INR,FAILED,Branch
T0000002,A000826,2026-01-05 11:14:20.530779,Payment,217183.71,INR,FAILED,Branch
T0000003,A000790,2025-02-23 04:36:08.530779,Payment,237413.56,INR,SUCCESS,ATM
T0000004,A000306,2025-10-15 22:26:47.530779,Payment,91490.94,INR,FAILED,Mobile
T0000005,A000377,2025-02-21 21:01:02.530779,Withdrawal,23802.07,INR,FAILED,Branch
T0000106,A000691,2025-02-20 09:17:31.530779,Withdrawal,5518.0,INR,FAILED,Mobile
T0000107,A000569,2025-07-27 19:25:46.530779,Withdrawal,47567.52,INR,PENDING,Branch
T0000108,A000328,2025-12-07 15:16:15.530779,Payment,242278.07,INR,SUCCESS,ATM
T0000109,A000663,2025-01-06 01:51:54.530779,Interest,119227.39,INR,FAILED,Mobile
T0000110,A001013,2025-05-18 18:19:00.530779,Withdrawal,104144.72,INR,SUCCESS,ATM
T0000111,A000694,2026-06-28 05:12:13.530779,Interest,77721.92,INR,PENDING,Branch
T0000112,A001227,2026-06-08 03:51:55.530779,Withdrawal,132456.22,INR,FAILED,ATM
T0000113,A000757,2026-08-26 04:05:39.530779,Fee,242610.63,INR,SUCCESS,Online
T0000114,A000855,2025-12-21 12:54:02.530779,Withdrawal,52443.05,INR,FAILED,Mobile
T0000115,A000976,2025-08-06 22:30:27.530779,Transfer,138793.44,INR,PENDING,ATM
T0000116,A000261,2026-09-05 06:30:22.530779,Transfer,195420.62,INR,PENDING,Mobile
T0000117,A001249,2026-09-15 21:00:49.530779,Withdrawal,203349.14,INR,SUCCESS,Branch
T0000118,A000040,2026-04-19 16:31:56.530779,Transfer,127789.02,INR,SUCCESS,Branch
T0000119,A000659,2025-02-18 22:08:02.530779,Deposit,132355.97,INR,FAILED,ATM
T0000120,A000798,2024-11-27 15:47:39.530779,Withdrawal,197841.27,INR,FAILED,Mobile
T0000121,A000971,2025-09-27 01:34:41.530779,Withdrawal,55911.0,INR,SUCCESS,ATM
T0000122,A000989,2025-09-19 22:01:35.530779,Fee,36615.44,INR,FAILED,ATM
T0000123,A001239,2026-01-29 10:52:03.530779,Fee,50094.58,INR,PENDING,Mobile
T0000124,A000247,2026-05-24 21:27:34.530779,Transfer,183381.64,INR,PENDING,Mobile
T0000125,A000579,2026-03-10 17:47:02.530779,Withdrawal,197698.26,INR,FAILED,Online
T0000126,A000419,2025-07-22 08:55:53.530779,Withdrawal,74096.23,INR,SUCCESS,Branch
T0000127,A000953,2024-12-09 12:51:02.530779,Withdrawal,111726.61,INR,FAILED,Mobile
T0000128,A000644,2026-05-21 15:35:59.530779,Deposit,234232.05,INR,FAILED,ATM
T0000129,A000929,2025-04-10 21:30:45.530779,Transfer,40808.98,INR,SUCCESS,ATM
T0000130,A000108,2024-10-07 03:56:26.530779,Transfer,138188.52,INR,FAILED,Mobile
T0000131,A001127,2025-08-08 13:05:00.530779,Deposit,157259.7,INR,PENDING,ATM
T0000132,A000669,2025-10-30 05:54:35.530779,Fee,209034.72,INR,SUCCESS,ATM
T0000133,A001165,2025-08-17 20:01:21.530779,Deposit,220826.58,INR,SUCCESS,Mobile
T0000134,A000140,2026-02-10 01:45:17.530779,Withdrawal,37977.32,INR,PENDING,Mobile
T0000135,A000738,2025-05-18 02:46:25.530779,Transfer,84605.7,INR,FAILED,ATM
T0000136,A000821,2024-11-30 17:21:32.530779,Fee,15631.4,INR,FAILED,Branch
T0000137,A001123,2026-09-01 05:04:19.530779,Deposit,203609.6,INR,FAILED,Mobile
T0000138,A000466,2025-01-16 08:55:22.530779,Withdrawal,14222.89,INR,PENDING,Online
T0000139,A001429,2024-11-12 22:50:11.530779,Withdrawal,119725.44,INR,SUCCESS,Mobile
T0000140,A000282,2025-05-16 04:59:10.530779,Fee,79932.81,INR,FAILED,Branch
T0000141,A000594,2024-10-09 18:00:24.530779,Payment,5975.93,INR,PENDING,Branch
T0000142,A000083,2026-04-06 01:54:12.530779,Withdrawal,147458.2,INR,SUCCESS,Mobile
T0000143,A000015,2026-05-09 17:19:22.530779,Transfer,175485.87,INR,PENDING,ATM
T0000144,A000814,2026-02-23 05:24:24.530779,Withdrawal,38148.74,INR,SUCCESS,ATM
T0000145,A000767,2025-06-19 19:40:55.530779,Fee,97166.1,INR,SUCCESS,ATM
T0000146,A000670,2025-08-28 06:33:25.530779,Transfer,98218.85,INR,PENDING,ATM
T0000147,A000913,2025-12-26 00:28:42.530779,Fee,241936.92,INR,PENDING,Branch
T0000148,A000231,2025-04-17 06:09:31.530779,Deposit,96924.27,INR,SUCCESS,Mobile
T0000149,A000612,2025-04-12 20:11:23.530779,Interest,168584.16,INR,PENDING,ATM
T0000150,A000112,2025-09-24 16:18:53.530779,Interest,156566.8,INR,PENDING,ATM
T0000151,A000049,2025-04-30 18:02:15.530779,Transfer,3188.85,INR,SUCCESS,ATM
T0000152,A001475,2025-04-19 17:37:07.530779,Payment,180020.32,INR,FAILED,Branch
T0000153,A001007,2026-05-29 05:26:45.530779,Payment,140251.38,INR,FAILED,Mobile
T0000154,A000220,2024-12-08 21:52:13.530779,Deposit,213185.08,INR,PENDING,Online
T0000155,A000001,2024-10-01 09:24:49.530779,Transfer,111320.65,INR,PENDING,Mobile
T0000156,A000754,2024-12-28 01:22:42.530779,Withdrawal,161478.45,INR,FAILED,ATM
T0000157,A000856,2024-12-06 09:37:22.530779,Interest,5696.39,INR,SUCCESS,Online
T0000158,A000539,2025-07-26 04:35:36.530779,Payment,232538.42,INR,SUCCESS,Online
T0000159,A000976,2026-07-03 00:32:05.530779,Withdrawal,3684.57,INR,SUCCESS,Mobile
T0000160,A001424,2025-12-30 20:32:17.530779,Fee,68356.33,INR,SUCCESS,Branch
T0000161,A000442,2024-11-23 05:00:37.530779,Deposit,99444.98,INR,FAILED,Online
T0000162,A000886,2024-10-28 17:32:23.530779,Payment,103164.82,INR,SUCCESS,Online
T0000163,A000576,2026-07-24 01:43:23.530779,Interest,70463.99,INR,FAILED,Mobile
T0000164,A001375,2025-06-20 00:19:04.530779,Transfer,240801.08,INR,SUCCESS,Mobile
T0000165,A000004,2026-08-27 15:44:23.530779,Interest,11126.36,INR,PENDING,Branch
T0000166,A000475,2026-04-15 17:12:57.530779,Interest,212129.3,INR,SUCCESS,ATM
T0000167,A001225,2025-09-27 02:38:53.530779,Transfer,114118.75,INR,FAILED,Mobile
T0000168,A000761,2025-10-07 23:24:29.530779,Interest,137800.91,INR,SUCCESS,ATM
T0000169,A000834,2026-07-06 12:03:19.530779,Withdrawal,145094.93,INR,FAILED,Branch
T0000170,A000303,2025-09-10 10:04:36.530779,Interest,187939.64,INR,FAILED,Branch
T0000171,A000178,2025-09-23 15:08:50.530779,Fee,63374.76,INR,SUCCESS,ATM
T0000172,A000956,2025-09-22 22:55:47.530779,Payment,188450.46,INR,PENDING,Mobile
T0000173,A001038,2024-11-02 11:56:02.530779,Interest,36348.12,INR,FAILED,Mobile
T0000174,A000422,2026-04-30 04:30:32.530779,Interest,99147.91,INR,FAILED,Online
T0000175,A000086,2026-02-15 19:14:07.530779,Fee,26043.45,INR,SUCCESS,ATM
T0000176,A000465,2026-04-06 05:25:32.530779,Interest,177467.27,INR,FAILED,Branch
T0000177,A001499,2025-01-17 11:16:47.530779,Transfer,137157.83,INR,FAILED,Branch
T0000178,A000720,2025-05-02 20:26:16.530779,Interest,102058.81,INR,SUCCESS,Mobile
T0000179,A000930,2026-07-07 22:52:22.530779,Withdrawal,208603.89,INR,SUCCESS,Online
T0000180,A001015,2026-02-18 03:21:14.530779,Withdrawal,228969.34,INR,PENDING,ATM
T0000181,A000621,2025-05-25 14:12:55.530779,Withdrawal,135537.52,INR,SUCCESS,Mobile
T0000182,A000064,2024-10-14 00:01:10.530779,Transfer,30356.78,INR,SUCCESS,Online
T0000183,A000927,2024-11-27 08:39:23.530779,Deposit,105537.19,INR,FAILED,Branch
T0000184,A000615,2024-09-30 21:11:08.530779,Transfer,96998.05,INR,SUCCESS,ATM
T0000185,A001208,2025-12-02 21:58:32.530779,Payment,158841.38,INR,PENDING,Online
T0000186,A000065,2026-08-16 17:19:05.530779,Payment,79976.0,INR,SUCCESS,ATM
T0000187,A000786,2026-09-07 16:40:20.530779,Fee,192469.87,INR,FAILED,ATM
T0000188,A000056,2026-08-22 17:16:50.530779,Payment,9764.03,INR,FAILED,Online
T0000189,A001114,2026-01-19 08:36:35.530779,Deposit,20832.87,INR,PENDING,Online
T0000190,A000691,2025-12-29 13:15:32.530779,Withdrawal,150941.82,INR,FAILED,Online
T0000191,A001132,2025-08-16 10:42:32.530779,Interest,213675.08,INR,SUCCESS,Branch
T0000192,A001401,2024-12-25 23:48:14.530779,Withdrawal,148397.92,INR,PENDING,Online
T0000193,A000142,2026-02-20 15:36:37.530779,Fee,45390.2,INR,FAILED,Branch
T0000194,A001484,2026-03-22 23:13:47.530779,Deposit,63375.76,INR,SUCCESS,Branch
T0000195,A000601,2025-03-17 15:52:33.530779,Withdrawal,10050.14,INR,PENDING,ATM
T0000196,A001407,2025-11-30 03:25:20.530779,Withdrawal,242144.34,INR,SUCCESS,Mobile
T0000197,A000511,2026-01-26 17:07:58.530779,Deposit,96887.19,INR,PENDING,Mobile
T0000198,A000620,2025-10-10 01:01:35.530779,Withdrawal,55933.32,INR,PENDING,Branch
T0000199,A001436,2025-05-12 15:37:08.530779,Deposit,25474.28,INR,SUCCESS,Mobile
T0000200,A000049,2026-06-01 19:55:08.530779,Payment,124086.8,INR,PENDING,Branch
T0000201,A001421,2024-10-11 18:33:00.530779,Transfer,-5000.0,INR,SUCCESS,Branch
T0000202,A000572,2026-01-18 00:39:00.530779,Payment,-5000.0,INR,FAILED,Online
T0000203,A000539,2024-11-25 02:36:20.530779,Interest,-5000.0,INR,FAILED,Mobile
T0000204,A000050,2025-02-07 03:50:06.530779,Withdrawal,-5000.0,INR,SUCCESS,Mobile
T0000205,A000765,2025-12-20 19:18:19.530779,Fee,-5000.0,INR,SUCCESS,Mobile
T0000206,A000238,2026-05-09 14:28:31.530779,Fee,10034.97,INR,SUCCESS,Mobile
T0000207,A001437,2025-07-24 04:16:45.530779,Payment,2897.29,INR,SUCCESS,Online
T0000208,A001364,2025-01-13 18:31:40.530779,Transfer,146434.66,INR,SUCCESS,ATM
T0000209,A000500,2025-02-07 11:03:46.530779,Payment,200326.2,INR,SUCCESS,Branch
T0000210,A000439,2026-01-22 16:51:33.530779,Deposit,43187.25,INR,PENDING,Online
T0000211,A001045,2025-02-16 04:03:05.530779,Withdrawal,215310.25,INR,SUCCESS,Branch
T0000212,A001160,2026-02-27 02:04:19.530779,Withdrawal,61842.25,INR,FAILED,ATM
T0000213,A000833,2025-05-08 08:59:07.530779,Deposit,188117.5,INR,SUCCESS,ATM
T0000214,A000395,2025-10-29 00:26:11.530779,Interest,181651.16,INR,FAILED,Branch
T0000215,A000461,2025-12-24 21:30:31.530779,Interest,226886.22,INR,FAILED,Branch
T0000216,A000323,2026-07-13 22:33:40.530779,Withdrawal,149784.81,INR,FAILED,Branch
T0000217,A001229,2024-12-05 15:11:05.530779,Deposit,104387.38,INR,PENDING,Online
T0000218,A001314,2026-09-11 04:43:44.530779,Deposit,92443.33,INR,FAILED,ATM
T0000219,A000700,2026-01-08 23:06:03.530779,Transfer,209097.49,INR,PENDING,ATM
T0000220,A001048,2025-08-01 16:32:17.530779,Payment,96584.85,INR,PENDING,Mobile
T0000221,A000187,2026-01-13 11:42:06.530779,Interest,122469.92,INR,FAILED,Online
T0000222,A000550,2025-06-04 22:20:05.530779,Transfer,218700.4,INR,PENDING,Mobile
T0000223,A000491,2025-08-06 11:13:53.530779,Fee,47897.52,INR,FAILED,Mobile
T0000224,A001385,2025-08-29 18:16:37.530779,Payment,69702.68,INR,PENDING,Branch
T0000225,A000386,2026-08-06 23:25:36.530779,Fee,222648.54,INR,SUCCESS,ATM
T0000226,A001460,2025-04-02 12:35:25.530779,Fee,138270.51,INR,SUCCESS,Branch
T0000227,A000356,2026-05-08 18:21:57.530779,Deposit,181175.72,INR,FAILED,Mobile
T0000228,A001298,2025-04-18 21:12:23.530779,Transfer,45851.15,INR,PENDING,Branch
T0000229,A000803,2025-10-08 08:22:20.530779,Payment,179288.66,INR,PENDING,Branch
T0000230,A000300,2026-03-24 11:51:32.530779,Transfer,151535.34,INR,FAILED,Online
T0000231,A000806,2025-10-10 19:28:44.530779,Deposit,16729.95,INR,FAILED,Branch
T0000232,A001196,2025-12-29 19:28:39.530779,Transfer,127828.49,INR,FAILED,Mobile
T0000233,A000876,2025-06-19 01:17:08.530779,Interest,245426.0,INR,PENDING,Online
T0000234,A000793,2026-01-20 15:20:46.530779,Transfer,29949.25,INR,SUCCESS,Online
T0000235,A000085,2025-09-25 01:24:48.530779,Deposit,69411.27,INR,PENDING,ATM
T0000236,A001407,2025-01-28 02:55:13.530779,Payment,51302.7,INR,PENDING,Online
T0000237,A000692,2024-09-30 03:29:10.530779,Fee,179921.03,INR,FAILED,Branch
T0000238,A000452,2025-05-24 07:49:15.530779,Fee,150954.96,INR,FAILED,ATM
T0000239,A000048,2025-05-20 04:57:09.530779,Fee,146071.59,INR,SUCCESS,Mobile
T0000240,A001110,2025-10-17 06:49:31.530779,Fee,4458.4,INR,SUCCESS,Online
T0000241,A000553,2026-04-27 21:47:20.530779,Payment,31228.36,INR,SUCCESS,Branch
T0000242,A000942,2025-05-04 08:14:27.530779,Fee,41494.08,INR,SUCCESS,Mobile
T0000243,A000007,2025-07-03 03:20:20.530779,Withdrawal,167823.28,INR,FAILED,Branch
T0000244,A000476,2025-12-20 07:11:54.530779,Deposit,211835.82,INR,FAILED,Branch
T0000245,A000788,2025-12-17 04:54:16.530779,Fee,187698.48,INR,SUCCESS,ATM
T0000246,A000895,2025-04-18 17:19:29.530779,Fee,85637.95,INR,SUCCESS,Branch
T0000247,A000795,2026-02-21 21:50:37.530779,Payment,151677.83,INR,FAILED,Mobile
T0000248,A001231,2026-09-10 02:14:44.530779,Interest,170851.28,INR,SUCCESS,Branch
T0000249,A000644,2025-04-20 07:21:49.530779,Transfer,101335.06,INR,SUCCESS,ATM
T0000250,A001230,2025-05-14 13:14:39.530779,Payment,240167.7,INR,PENDING,Mobile
T0000251,A000927,2026-07-12 01:47:04.530779,Interest,200045.15,INR,FAILED,ATM
T0000252,A000042,2025-09-23 13:17:59.530779,Payment,109129.33,INR,FAILED,Branch
T0000253,A000523,2024-12-20 15:21:10.530779,Transfer,57216.35,INR,FAILED,ATM
T0000254,A000346,2026-01-23 05:11:07.530779,Withdrawal,213426.37,INR,PENDING,Mobile
T0000255,A000747,2024-10-27 13:19:01.530779,Deposit,190201.49,INR,SUCCESS,Mobile
T0000256,A001425,2024-12-23 21:50:13.530779,Fee,12611.26,INR,SUCCESS,ATM
T0000257,A000601,2025-12-27 04:51:18.530779,Withdrawal,214639.21,INR,FAILED,Mobile
T0000258,A000639,2025-05-12 14:20:14.530779,Withdrawal,130174.94,INR,SUCCESS,Online
T0000259,A001173,2026-06-17 01:19:39.530779,Interest,195796.88,INR,PENDING,Mobile
T0000260,A000964,2025-07-12 19:22:44.530779,Payment,223741.01,INR,SUCCESS,Online
T0000261,A001460,2025-04-08 21:22:13.530779,Deposit,16938.79,INR,SUCCESS,ATM
T0000262,A000255,2025-03-22 18:52:11.530779,Payment,138404.32,INR,FAILED,Mobile
T0000263,A000383,2025-02-23 18:51:32.530779,Withdrawal,196748.4,INR,FAILED,Mobile
T0000264,A000043,2025-06-25 18:06:57.530779,Fee,126176.99,INR,SUCCESS,Branch
T0000265,A000100,2025-02-05 05:30:34.530779,Payment,39061.76,INR,SUCCESS,Mobile
T0000266,A001176,2026-06-05 12:47:53.530779,Transfer,115655.06,INR,FAILED,Mobile
T0000267,A001462,2026-09-17 03:25:46.530779,Withdrawal,40605.52,INR,PENDING,Online
T0000268,A000279,2024-11-27 13:10:14.530779,Deposit,71871.9,INR,PENDING,Branch
T0000269,A001128,2026-08-14 13:48:40.530779,Fee,181586.11,INR,PENDING,Branch
T0000270,A000725,2026-07-14 18:20:57.530779,Fee,144410.22,INR,PENDING,Branch
T0000271,A000835,2025-06-04 18:29:17.530779,Withdrawal,125837.82,INR,FAILED,Mobile
T0000272,A000151,2024-10-27 06:57:42.530779,Fee,248679.18,INR,FAILED,Online
T0000273,A000784,2026-05-31 14:26:40.530779,Payment,74949.54,INR,SUCCESS,ATM
T0000274,A000033,2026-01-31 06:39:49.530779,Withdrawal,108940.83,INR,PENDING,Mobile
T0000275,A000287,2025-12-24 20:55:33.530779,Interest,198460.76,INR,FAILED,Mobile
T0000276,A000466,2025-02-12 00:01:31.530779,Payment,63304.7,INR,FAILED,Branch
T0000277,A000761,2026-09-19 16:22:00.530779,Withdrawal,115878.5,INR,FAILED,Online
T0000278,A001311,2025-05-29 04:43:40.530779,Deposit,73924.98,INR,SUCCESS,ATM
T0000279,A001339,2026-01-09 13:30:11.530779,Payment,19623.06,INR,FAILED,ATM
T0000280,A000978,2026-02-26 19:30:45.530779,Deposit,233500.9,INR,FAILED,Online
T0000281,A000397,2025-09-15 11:29:49.530779,Transfer,230504.12,INR,SUCCESS,Online
T0000282,A001457,2025-01-01 04:44:33.530779,Fee,67475.19,INR,SUCCESS,Mobile
T0000283,A000761,2026-06-27 18:24:05.530779,Deposit,112144.83,INR,FAILED,Branch
T0000284,A000669,2025-09-10 22:04:01.530779,Transfer,92055.09,INR,PENDING,Online
T0000285,A000888,2025-12-12 17:10:44.530779,Fee,9135.36,INR,PENDING,Online
T0000286,A000677,2025-02-24 13:11:20.530779,Interest,178596.37,INR,PENDING,ATM
T0000287,A000403,2025-02-14 04:36:24.530779,Deposit,154256.9,INR,FAILED,Branch
T0000288,A000091,2025-05-03 00:57:15.530779,Transfer,3127.47,INR,SUCCESS,Mobile
T0000289,A000397,2025-11-22 20:09:23.530779,Payment,199887.97,INR,SUCCESS,Branch
T0000290,A000523,2026-04-03 20:06:58.530779,Withdrawal,241.69,INR,SUCCESS,Mobile
T0000291,A001490,2024-10-28 09:05:45.530779,Payment,196774.34,INR,SUCCESS,Branch
